python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
output,英 [atpt]美 [atpt],n. 输出; 产量; 作品; [计]输出信号; vt. 输出;
test,英 [test]美 [test],n. 试验; 测验; 考验; 化验; vt. 测验; 考验; 考查; 勘探; vi. 受试验; 受测
classes,英 [klɑ:sz]美 [klɑsz],n. 阶级; 等级; 班( class的名词复数 ); 种类;
than,英 [n]美 [n],conj. 比（用于比较级）; 宁愿…而不愿; 除…以外; 一…就; prep. 比; 超过;
would,英 [wd]美 [wd],aux. 愿意; 将，将要; 会，打算; 大概; v. (will 的过去式，用于转述)将;
where,英 [we(r)]美 [wer],adv. 哪里，在哪里; 到哪里; 某种情势或位置; conj. 在…的地方; n. 地方，场所; 
then,英 [en]美 [n],adv. 然后; 那么; 那时; 话说回来; adj. 当时的; 那时的;
just,英 [dst]美 [dst],adv. 正好; 刚才; 仅仅，只是; 刚要; adj. 公正的，合理的; 恰当的; 合法的; 正确
order,英 [:d(r)]美 [rd(r)],n. 秩序; 命令; 次序; 规则，制度; vt. 命令; 订购; 整理; vi. 下订单;
script,英 [skrpt]美 [skrpt],n. 脚本，手迹; 书写体铅字; 剧本、广播稿或者电影剧本; vt. 为电影（或戏剧等）写剧本; 编
read,英 [ri:d]美 [rid],vt.& vi. 阅读，朗读; 显示; 研究; 看得懂; vt. 阅读; 显示; 读懂，理解; n.
however,英 [haev(r)]美 [haev],adv. 然而; 可是; 无论如何; 不管到什么程度; conj. 不管怎样;
next,英 [nekst]美 [nkst],adj. 紧接在后的; 次于的; 贴近的; 紧邻的; adv. 接下去; 然后; 居后地; 依次的;
input,英 [npt]美 [npt],n. 输入，投入; 输入电路; <电>输入端; 输入的数据; vt. 把…输入电脑; [自][电子]
way,英 [we]美 [we],n. 方法; 道路; 方向; 某方面; adv. 远远地，大大地;
simple,英 [smpl]美 [smpl],adj. 简单的; 单纯的; 易受骗的; 天真的; n. 笨蛋; 愚蠢的行为; 出身低微者;
following,英 [fl]美 [fɑlo],adj. 后面的，其次的; 下列的; 顺风的; n. 跟随; 崇拜者，拥护者; 下列，如下; 随球;
start,英 [stɑ:t]美 [stɑrt],n. 开始; 动身; 开动; 起点; vt.& vi. 出发，启程; vt. 起动; 提出（问题）;
document,英 [dkjumnt]美 [dɑkjumnt],n. 公文; （计算机）文档，证件; vt. 记录; 证明; 为…提供证明;
release,英 [rli:s]美 [r'lis],vt. 释放; 发布; 发行; 放开; n. 释放，排放，解除; 释放令; 公映的新影片，发布的新闻
main,英 [men]美 [men],adj. 主要的，最重要的; 全力的; n. 最主要的部分，重点; 主要管道; 体力; [航海]公海
date,英 [det]美 [det],n. 约会; 日期，日子; 时代，年代; （北非和西亚常见的海枣树的）海枣; vt. 过时; 使…显
instead,英 [nsted]美 [nstd],adv. 反而; 代替，顶替; 反倒;
discussion,英 [dskn]美 [dskn],n. 讨论，谈论; 详述，论述;
edit,英 [edt]美 [dt],vt. 编辑; 剪辑（影片，录音）; 校订; 主编; n. 编辑;
different,英 [dfrnt]美 [dfrnt],adj. 不同的; 各式各样的; 个别的; 不平常;
log,英 [lg]美 [lg],n. 日志; 记录; 原木; v. 伐木; 把…载入正式记录; 行驶;
library,英 [labrri]美 [labreri],n. 藏书; 图书馆，藏书楼; 书屋，书斋; 图书出租处;
version,英 [v:n]美 [vrn],n. 版本; 译文，译本; 说法; 倒转术;
decorator,英 [dekret(r)]美 [dkret],n. 室内装饰师，油漆匠; adj. 适于室内装饰的;
sample,英 [sɑ:mpl]美 [smpl],n. 样品，华样; 标本，榜样; （化验的）取样; [信]信号瞬时值; vt. 取…的样品，尤指用样
server,英 [s:v(r)]美 [srv(r)],n. 服务器 ; 侍者; 上菜用具; 发球者;
common,英 [kmn]美 [kɑmn],adj. 普通的; 通俗的; [数学]公共的; 共有的; n. 普通; [法律]（对土地、水域的）共
dictionary,英 [dknri]美 [dkneri],n. 词典，字典; [自]代码字典;
find,英 [fand]美 [fand],v. 找到; 发现; 查明; 发觉; n. 发现物; 被发现的人;
now,英 [na]美 [na],adv. 现在; 其时; 立刻; （改变话题或要对方做某事前，引起对方注意）喂; adj. 现在的;
pass,英 [pɑ:s]美 [ps],vt.& vi. 通过; 走过; 批准; 度过; vt. 传球; 及格; 发生; 不要; n. 通行
program,英 [prgrm]美 [progrm],n. 程序; 节目，节目单; 计划，安排; v. [计]给…编写程序; 为…制定计划; 设计安排活动
size,英 [saz]美 [saz],n. 规模; 大小，尺寸; 胶料，浆糊; 巨大，大量; vt. 按大小排列; 改变…的大小; 上胶料
try,英 [tra]美 [tra],vt.& vi. 试图，努力; 实验; 审判; 考验; n. 尝试，实验; [橄]触球，（因触球获得
level,英 [levl]美 [lvl],n. 水平，水准; 水平线，水平面; 水平仪; [物]电平; adj. 水平的; 同高度的; 平均的
raise,英 [rez]美 [rez],v. 筹集; 提升; 增加; 养育; n. 提升; 增加; 举起; 高处;
service,英 [s:vs]美 [srvs],n. 服役; 服务，服侍; 服务业; 维修服务; vt. 检修，维修; 向…提供服务; 保养; 满足
simply,英 [smpli]美 [smpli],adv. 简直; 简单地，朴素地; （引出概括或解释）不过，仅仅; <非正>实在;
while,"英 [wal]美 [hwal, wal]",conj. 而; 虽然; 在…期间; 与…同时; n. （一段）时间; vt. 消磨，打发（时间）;
end,英 [end]美 [nd],n. 端; <正>结果; 终止; 最后部分; vt.& vi. 结束，终止;
hello,英 [h'l]美 [hlo],int. 打招呼; 哈喽，喂; 你好，您好; 表示问候; n. “喂”的招呼声或问候声; vi. 喊
given,英 [gvn]美 [ɡvn],adj. 指定的，确定的; 假设的，假定的; 有…倾向的; 赠送的; prep. （表示原因）考虑到
form,英 [f:m]美 [frm],n. 表格; 方式; 形状，形式; 外形; vt. 形成; 构成; 组织; 塑造; vi. 形成，产
error,英 [er(r)]美 [r],n. 错误，过失; [法]误审，违法; [数]误差;
programming,英 [prgrm]美 [progrm],n. 编程; 规划，设计; v. 训练( programme的现在分词 ); 培养; 预调;
index,英 [ndeks]美 [ndks],n. 索引; <数>指数; 指示; 标志; vt. 给…编索引; 把…编入索引; [经济学]按生活指
exception,英 [ksepn]美 [kspn],n. 例外，除外; 反对，批评; [法律]异议，反对;
built,英 [blt]美 [blt],v. build的过去式和过去分词; adj. …建成的; 身段优美的; 有特定体格的;
because,英 [bkz]美 [bkz],conj. 因为;
statement,英 [stetmnt]美 [ stetmnt],n. 声明; （思想、观点、文章主题等的）表现; （文字）陈述; 结算单; vi. （英国）对儿童进
recipe,英 [respi]美 [respi],n. 食谱; 处方; 秘诀
information,英 [nfmen]美 [nfrmen],n. 消息; 信息，数据; 通知; 知识;
title,英 [tatl]美 [tatl],n. 标题; 头衔; [体]冠军; [影视]字幕; vt. 加标题; 赋予头衔; 把…称为; adj
support,英 [sp:t]美 [sprt],vt. 支持; 支撑; 帮助; 维持; n. 支撑; 支持者; [数学]支集; 支撑物;
sequence,"英 [si:kwns]美 [sikwns, -kwns]",n. 顺序; [数]数列，序列; 连续; 片断插曲; vt. 使按顺序排列，安排顺序; [生化]确定
model,英 [mdl]美 [mɑdl],n. 模型; 模式; 模特儿; 典型; vt.& vi. 做模特儿; vt. 模仿; 制作模型，塑造
language,英 [lgwd]美 [lɡwd],n. 语言，语言文字; 表达能力; 言语，语风，文风，文体; 专门用语，术语;
html,英 [et ti: em el]美 [ettiml],abbr. Hypertext Markup Language 超文本链接标示语言;
multiple,英 [mltpl]美 [mltpl],adj. 多重的; 多个的; 复杂的; 多功能的; n. <数>倍数; [电工学]并联; 连锁商店;
help,英 [help]美 [hlp],vt.& vi. 帮助; 有助于， 有利于; vt. 治疗; 避免; 招待（客人）; 给…盛（饭、菜
reference,"英 [refrns]美 [rfrns, rfrns]",n. 参考; 参考书; 提及，涉及; 证明人，介绍人; v. 引用; 参照;
foo,英 [fu:]美 [fu],abbr. folio (Spanish=folio) （西班牙语）编页码，对开的纸;
directory,"英 [drektri]美 [drktri, da-]",n. 人名地址录，（电话）号码簿; （计算机文件或程序的）目录; adj. 指导的，指挥的; 咨询的
null,英 [nl]美 [nl],adj. <术>零值的; 等于零的; （协议） 无法律效力; 失效的;
case,英 [kes]美 [kes],n. （实）例，事例; 情况，状况; 诉讼（事件），案件，判例; 容器（箱，盒）; vt. 把…装入
memory,英 [memri]美 [mmri],n. 记忆，记忆力; 回忆，往事; [计]存储器，内存;
double,英 [dbl]美 [dbl],adj. 双的; 两倍的; 两面派的; 双人用的; vt. 使加倍; 把…对折; 重复; vi. 加
variable,英 [veribl]美 [veribl],adj. 变化的，可变的; [数]变量的; [生]变异的; n. 可变因素，变量; 易变的东西;
single,英 [sgl]美 [sɡl],adj. 单一的; （打斗、比赛等）一对一的; 惟一的; 适于一人的; n. 单程票; （旅馆等的）
access,英 [kses]美 [kss],n. 入口，出口; 接近，进入; 增长; 爆发; vt. 接近，进入; 使用，接近，获取;
does,英 [dz]美 [dz],conj. 做，有用，工作; v. 做( do的第三人称单数 ); 干; 学习; 研究; n. 雌鹿
state,英 [stet]美 [stet],n. 国家; 州; 状况，情况; 资格; vt. 规定; 陈述，声明; adj. 国家的; 国务的，
don,英 [dn]美 [dɑn],n. 大学教师，（牛津、剑桥大学的）导师，特别研究员; vt. 穿上，披上;
system,英 [sstm]美 [sstm],n. 制度; 体系，系统; 身体; 方法;
part,英 [pɑ:t]美 [pɑrt],n. 部分; 零件; 参加; 地区; vt. 使分裂; 拆移; 使分开; vi. 分开; 分离; 分
optional,英 [pnl]美 [ɑpnl],adj. 可选择的; 随意的，任意的; 非强制的; 选修科目;
client,英 [klant]美 [klant],n. 顾客; 当事人; 诉讼委托人; [计算机]客户端;
element,英 [elmnt]美 [lmnt],n. 要素; [化]元素; 原理; [电]电阻丝;
overflow,英 [vfl]美 [ovrflo],vt.& vi. 溢出，淹没; 挤满，充满; 洋溢; 资源过剩; n. 泛滥，溢出物; 溢流管; 充
been,英 [bi:n]美 [bn],v. 用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质（ be的过去分词 ）
change,英 [tend]美 [tend],vt. 改变，变更; 交换，替换; 兑换; 换衣服（床单）; vi. 改变，转变; 交换，互换; 换
push,英 [p]美 [p],vt.& vi. 推，推动; vt. 按; 推动，增加; 对…施加压力，逼迫; 说服; n. 推，决
writing,英 [rat]美 [rat],n. 写作; 文字; 文章; 笔迹; v. 写信; 写（ write的现在分词）;
database,"英 [detbes]美 [detbes, dt-]",n. 数据库; 资料库; 信息库;
package,英 [pkd]美 [pkd],vt. 包装; 把…装箱; 向…提出一揽子计划; n. 包裹; 包装袋; 包装盒; 一组建议;
note,英 [nt]美 [not],n. 笔记; 音符; 便笺; 钞票; vt. 注意; 记录; 指出; 对…加注释;
base,英 [bes]美 [bes],n. 基地; 基础; 根据; 基数（如十进制的10 和二进制的2）; vt. 基于; 把…建立在; 
process,英 [prses]美 [proses],n. 过程; 工序; 做事方法; 工艺流程; vt. 处理; 加工; 审阅; 审核; vi. 列队行
look,英 [lk]美 [lk],vt.& vi. 看，瞧; vi. 寻找; 注意; 面向; 看起来好像; n. 看; 样子; （尤指
yield,英 [ji:ld]美 [jild],vt. 屈服，投降; 生产; 获利; 不再反对; vi. 放弃，屈服; 生利; 退让，退位; n. 
possible,英 [psbl]美 [pɑsbl],adj. 可能的; 可接受的; 合理的，可以允许的; 不坏的; n. 可能性，潜在性; 可能的人物，
over,英 [v(r)]美 [ov(r)],prep. （表示方向）越过; （部份或全部覆盖）在…上面; 由于; （表示论及）关于; adv. 
defined,英 [d'fand]美 [d'fand],adj. 有定义的，明确的; 清晰的，轮廓分明的; v. 给…下定义，解释，限定(define的过去
implementation,英 [mplmen'ten]美 [mplmnten],n. 贯彻; 成就; implement的变形; 安装启用;
filename,英 [falnem]美 [falnem],n. 文件名;
match,英 [mt]美 [mt],n. 比赛; 火柴; 对手; 相配的人（或物）; vt. 相同; 适应; 使较量; 使等同于; vt
super,英 [su:p(r)]美 [sup],adj. 超级的，极度的，过分的，超等的，极好的; 面积的，平方的; n. 特级品，特大号商品; a
often,英 [fn]美 [fn],adv. 经常; 常常; 时常; 再三;
parent,英 [pernt]美 [pernt],n. 父亲（或母亲）; 先辈; 根源，起源; 保护者;
tuple,英 [tpl]美 [tpl],n. 元组，数组;
shown,英 [n]美 [on],v. 表现出; 给…看( show的过去分词 ); 显露出; 上演;
found,英 [fand]美 [fand],vt. 创办，成立，建立; v. 找到; 发现（ find的过去式）; 到达; 发觉;
extension,英 [kstenn]美 [kstnn],n. 伸展，扩大; 延长，延期; [医]牵引; 电话分机;
standard,英 [stndd]美 [stndrd],n. 标准，规格; 旗，军旗; 度量衡标准; 直立支柱; adj. 标准的，合格的; 普遍的，一般的
thread,英 [θred]美 [θrd],n. 螺纹; 线; 线索; 线状物; vt. 穿成串; 将（针、线等）穿过…; 用…线缝; 给…装入
useful,英 [ju:sfl]美 [jusfl],adj. 有用的，有益的，有帮助的; 令人满意的;
bar,英 [bɑ:(r)]美 [bɑr],n. 条，棒; （门、窗等的）闩; 障碍; 酒吧间; vt. 闩（门等）; 阻碍，封锁; 排除，去除
message,英 [mesd]美 [msd],n. 消息; 信息; 要旨; 教训; v. 给…发消息; 给…留言;
socket,英 [skt]美 [sɑkt],n. 插座; 灯座; 窝，穴; [解]眼窝，孔窝; vt. 把…装入插座; 给…配插座;
local,英 [lkl]美 [lokl],adj. 局部的; 地方的; 当地的，本地的; 褊狭的; n. 慢车; 本地居民（律师、教士、医生）
dict,英 ['dkt]美 ['dkt],abbr. dictionary 字典，词典; dictation 口述;
core,"英 [k:(r)]美 [kr, kor]",n. 中心，核心，精髓; 果心，果核; [地质学]地核; [计] 磁心; vt. 去（果）核，挖去…
send,英 [send]美 [snd],vt. 送; 派遣; 使作出（某种反应）; 使进入（某状态）; vt.& vi. 用无线电波发送，发
search,英 [s:t]美 [srt],v. 搜查; 搜寻，搜索; 调查; 探求; n. 搜索; 调查; 探求;
right,英 [rat]美 [rat],adv. 立刻，马上; 向右，右边; 恰当地; 一直; adj. 正确的; 合适的; 右方的; 好的
command,英 [kmɑ:nd]美 [kmnd],n. 命令，指挥; 司令部，指挥部; [计算机]指令; 控制力; vt. 命令; 指挥，控制，命令;
structure,英 [strkt(r)]美 [strkt],n. 结构; 构造; 建筑物; 体系 vt. 构成，排列; 安排
could,英 [kd]美 [kd],aux. “can”的过去式; 能够，打算; 用于假设语气的条件句; 用于虚拟语气的结论句;
template,英 [templet]美 [tmplt],n. 模板; 样板; 型板;
after,英 [ɑ:ft(r)]美 [ft(r)],prep. …后的; （表示时间）在…以后; （表示位置、顺序）在…后面; conj. 在…以后; 
context,英 [kntekst]美 [kɑntekst],n. 语境; 上下文; 背景; 环境;
based,英 [best]美 [best],adj. 有根基的; 有基地的; v. 立基于; 以…为基础(base的过去式和过去分词);
delete,英 [dli:t]美 [dilit],vt.& vi. 删除;
field,英 [fi:ld]美 [fild],n. 田; （作某种用途的）场地; （学习或研究的）领域; 运动场; vi. [棒球、板球等]担任外
table,英 [tebl]美 [tebl],n. 桌子; 表，目录; 手术台，工作台，游戏台; 平地层; vt. 制表; 搁置; 嵌合; 搁置;
axis,英 [kss]美 [kss],n. 轴，轴线; [政]轴心; 轴心国; [植]茎轴;
xml,英 [eks em el]美 [ksml],abbr. Extensible Markup Language 可扩展标记语言;
sock,英 [sk]美 [sɑk],n. 短袜; （尤指用拳头）猛击，重击; vt. 重击; 给…穿袜;
topic,英 [tpk]美 [tɑpk],n. 主题; 话题，论题; 标题，细目;
even,英 [i:vn]美 [ivn],adv. 甚至;  即使; 更加; 恰巧在…时候; adj. 公平的; 平坦的;  偶数的; 平均的
expression,英 [kspren]美 [ksprn],n. 表现，表示，表达; 表情，脸色，态度，腔调，声调; [数]式，符号; 词句，语句，措辞，说法;
being,英 [bi:]美 [bi],n. 存在; 人; 生物; 要素，本质;
back,英 [bk]美 [bk],n. 背，背部; 背面，反面; 后面，后部; （椅子等的）靠背; vt. 使后退; 支持; 加背书于
syntax,英 [sntks]美 [sntks],n. 语法; 句法; 句法规则[分析]; 语构;
property,英 [prpti]美 [prɑprti],n. 特性，属性; 财产，地产; [戏]道具; 所有权;
world,英 [w:ld]美 [wrld],n. 世界; 地球; 领域; 尘世;
source,英 [s:s]美 [srs],n. 根源，本源; 源头，水源; 原因; 提供消息的人; vt. （从…）获得; 发起; 向…提供消
range,英 [rend]美 [rend],n. 范围; 射程; 类别; （山脉，房屋等的）排列; vi. 搜索; 变化; 延伸; 漫游; vt
visit,英 [vzt]美 [vzt],vt.& vi. 访问; 参观; 游览; 探望; vi. 作客; n. 访问，参观; 逗留; vt.
recent,英 [ri:snt]美 [risnt],adj. 最近的; 新近的; 近代的; [地]全新世的;
view,英 [vju:]美 [vju],n. 看法; 风景; 视域; [建筑学]视图; vt. 看; 看待;
check,英 [tek]美 [tk],vt. 检查，核对; 制止，抑制; 在…上打勾; vi. 核实，查核; 中止; 打勾; [象棋]将一
before,"英 [bf:(r)]美 [bfr,-for]",prep. 在…之前; 先于，优于; 当着…的面; 与其…; conj. 在…之前; 在…以前; 比
site,英 [sat]美 [sat],n. 遗址; 地点，位置，场所; [计算机]网站; 地皮; vt. 使坐落在; 安放，设置; 给…造
pattern,英 [ptn]美 [ptrn],n. 模式; 图案; 花样，样品; 榜样，典范; vt. 模仿; 以图案装饰; vi. 形成图案;
current,英 [krnt]美 [krnt],adj. 现在的; 最近的; 流行的; 流传的; n. 电流; 趋势; 水流; 涌流;
keyword,英 [ki:w:d]美 [kiwrd],n. 关键词; 关键字;
page,英 [ped]美 [ped],n. 页; （计算机的）页面; 年史; <文>重要事件; vt. 标记…的页数; 翻页; 喊出名字以
binary,英 [banri]美 [banri],adj. 二进制的; 二元的; 双重的，由两个东西组成的; 二态的; n. 一双; 双体; 二进制数
web,英 [web]美 [wb],n. 蜘蛛网，网状物; [机]万维网; 织物; 圈套; vt. 在…上织网; 用网缠住; 使中圈套;
connection,英 [knekn]美 [knkn],n. 连接; 联系，关系; 连接点; 亲戚;
integer,英 [ntd(r)]美 [ntd],n. 整数;
join,英 [dn]美 [dn],vt.& vi. 加入; 参加; 连接; 联结; vt. 参与; 结合; 上（火车、飞机等）; 上（
append,英 [pend]美 [pnd],vt. 附加; 添加; 贴上; 签（名）;
byte,英 [bat]美 [bat],n. 字节;
